Abstract,Contributor,Creator,Date,Date Available,Description,Format,Identifier,Language,Publisher,References,Rights,Source,Subject,Title,Type,added,collection,featured,files,id,item_type,modified,owner,public,tags,url
Vide,Hélène Laplace-Claverie,"Minjoz, Ninon",2014,Vide,"Il me semble que « [l'entreprise que je forme] n'eut jamais d'exemple » (J.-J. Rousseau, <i>Confessions</i>) ; du moins, sur un tel sujet. En effet, plutôt que sur l'étude d'un axe précis dans une œuvre ou chez un auteur, comme il est d'usage, mon travail repose sur une impression de lecture. Il consiste donc à rechercher et à mettre en évidence ce que l'on pourrait voir comme des échos de Longus dans <i>L'Homme qui rit</i>, idée qui peut être déroutante de prime abord. Dès lors, un problème de méthode se dessine : la recherche bibliographique - bien qu'extrêmement enrichissante et florissante sur chacune des deux œuvres - peinera à trouver sa place matérielle à l'intérieur de mon mémoire, en tant que citations. Elle la trouvera, mais cette place sera moins conséquente que de coutume. En revanche, les considérations des auteurs (se résumant au préambule chez Longus, plus largement développées chez Hugo) au sujet de leurs œuvres respectives se révéleront très utiles dans une telle entreprise. La méthode que je m'apprête à utiliser s'offrira donc en pâture à la critique, en ce qu'elle a d'atypique, mais j'espère qu'elle trouvera ici son fondement.<br>Le sujet impose également de respecter une certaine distance par rapport aux « preuves » avancées. Je ne prétends pas offrir le feu aux hommes, seulement proposer un éclairage différent de ceux traditionnellement offerts quant à  <i>L'Homme qui rit </i>. Ce mémoire s'écrira au conditionnel. Ce travail se proposera donc de rassembler des « preuves » que Hugo a pensé Gwynplaine tel un « Daphnis des ténèbres » et Dea, telle une « Chloé de l'ombre » (V. Hugo, <i>L'Homme qui rit</i>, Partie II, Livre II, Chapitre V (I, p. 359).",Vide,https://dumas.ccsd.cnrs.fr/dumas-01142842/file/2013-2014%20Ninon%20Minjoz.pdf,fr,HAL CCSD,Vide,Vide,Littératures. 2014,[SHS.LITT] Humanities and Social Sciences/Literature,Des échos de Longus dans <i>L'Homme qui rit</i> de Victor Hugo,Master thesis,2015-06-17T14:41:56+00:00,Vide,False,0,6007,Vide,2017-12-20T14:49:49+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6007
Vide,Hélène Laplace-Claverie,"Delorme, Philippe",2014,Vide,"Le thème du paria ne permet-il pas d’entrer pleinement dans la singularité de l’œuvre de Vigny, pour mieux en comprendre et en apprécier l’origine, la forme et la portée ? <br>Le mémoire se propose de rendre compte d’un travail de recherche qui permet d’apporter à cette question la réponse suivante : particulièrement sensible, pour des raisons liées à sa vie, à son époque et à sa personnalité, aux situations d’exclusion et de souffrance, Alfred de Vigny développe dans son œuvre, à partir de situations humaines et sous des formes littéraires différentes, une vision paradoxale du paria qui en souligne la grandeur et caractérise sa philosophie et sa poétique.L’étude de trois œuvres de Vigny qui accordent au thème du paria une place manifeste – <i>Chatterton, Servitude et grandeur militaires</i> et le poème « La Flûte » <i>des Destinées</i> – autorise à penser qu’à travers l’évocation de situations différentes, Vigny développe une vision unique du paria : le paria, chez Vigny, est un homme bon écrasé par le destin, qui souffre moralement et physiquement mais s’efforce courageusement de vivre dignement, c’est-à-dire en acceptant son sort puisqu’il le juge inéluctable, en conservant sa bonté native même dans l’adversité et en restant fidèle à ses devoirs d’état ; cette volonté de vivre et les efforts qu’elle engendre fondent paradoxalement sa grandeur, qui se manifeste en particulier par le silence.<br>À partir de cette définition, l’hypothèse a pu être formulée que l’œuvre littéraire de Vigny tend à assimiler l’homme à un paria, ce que nous avons formulé de la manière suivante : pour Alfred de Vigny, l’homme est un paria puisqu’il souffre moralement et physiquement du poids de sa destinée et de la solitude que le silence de Dieu lui impose. Dans ces conditions, la grandeur de l’homme consiste à opposer sa volonté au destin en s’efforçant courageusement de vivre dignement, c’est-à-dire en acceptant son sort puisqu’il est inéluctable, en conservant sa bonté native même dans l’adversité et en s’acquittant avec honneur des devoirs propres à son état.",Vide,https://dumas.ccsd.cnrs.fr/dumas-01142450/file/2013-2014%20Delorme%20Philippe%20M1.pdf,fr,HAL CCSD,Vide,Vide,Littératures. 2014,[SHS.LITT] Humanities and Social Sciences/Literature,"Le th&egrave;me du paria chez Alfred de Vigny : <em>Chatterton, Servitude et grandeur militaires</em> et &laquo; La Fl&ucirc;te &raquo; (<em>Les Destin&eacute;es</em>)",Master thesis,2015-06-17T14:41:56+00:00,32,False,0,6008,Vide,2019-05-23T08:58:09+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6008
Vide,Jean-Yves Casanova,"Regnacq, Magali",2013-09-30,Vide,"Imaginaire et vérité, deux notions qui se retrouvent exploitées dans un même genre littéraire destiné à la jeunesse : le roman historique. Ce mémoire propose de s’intéresser à la relation fiction-savoir contenue dans ces romans. Comment les auteurs parviennent-ils à concilier deux concepts qui paraissent opposés et qui, assemblés, représentent un non-sens, tel que l’a constaté le critique Bertrand Solet ? Notre étude porte sur la série littéraire <i>Les Mystères romains</i> de Caroline Lawrence dont les romans se déroulent dans la Rome antique. Quelles sont les parts de romanesque et de vérité dans ces récits et comment coexistent-ils ? <br><i>Les Mystères romains</i> sont certes ancrés dans l’Histoire mais cette dernière est contée. Si Caroline Lawrence revêt le statut d’écrivain-historienne, elle ne néglige pas l’aspect romanesque des œuvres et le plaisir de la lecture qu’elle doit transmettre. Intrigues policières, personnages permettant l’identification, constructions narratives riches en suspens et familières au lecteur, tous ces aspects fictionnels retiennent l’attention du lecteur et participent à son évasion dans un univers imaginaire.<br>  Comment le savoir historique s’insère-t-il alors dans la narration ? <i>Les Mystères romains</i> délivrent des connaissances implicites et explicites enrichissant ainsi la culture du lecteur. Inhérents aux intrigues, les événements et les personnages historiques, les faits de société et lois, les sujets religieux et mythologiques offrent une large représentation de la vie romaine dans l’Antiquité. Parallèlement, le langage didactique contenu dans la narration ainsi que le paratexte éditorial des Éditions Milan viennent compléter le savoir implicitement délivré dans la fiction.<br> Cette corrélation fiction-réalité permet de s’intéresser à l’approche pédagogique du roman historique à l’école : ce genre littéraire, combinant deux aspects essentiels aux enfants, l’imaginaire et le savoir, n’est-il pas un outil nécessaire dans le domaine scolaire ?",Vide,https://dumas.ccsd.cnrs.fr/dumas-01140214/file/2012-2013%20Magali%20Regnacq%20M2.pdf,fr,HAL CCSD,Vide,Vide,Littératures. 2013,[SHS.LITT] Humanities and Social Sciences/Literature,"Quand la littérature de jeunesse raconte l’Histoire : <i>Les Mystères romains</i> de Caroline Lawrence, un voyage au cœur de l’Antiquité romaine",Master thesis,2015-06-17T14:41:56+00:00,32,False,0,6009,Vide,2017-12-20T14:49:49+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6009
Vide,Jean-Yves Casanova,"Saux-Kips, Fabienne",2013,Vide,"Jean Giono a toujours été classé parmi les romanciers particuliers, ces prosateurs qui s'apparentent aux poètes. Mais en quoi est-il poète ? Existe-t-il chez cet écrivain une signature, un processus ou une direction poétiques vers laquelle s'oriente son œuvre ? Cette question est examinée à travers trois œuvres qui jalonnent sa vie, <i>Naissance de l'Odyssée</i>, <i>Pour saluer Melville</i> et <i>Le Déserteur</i>.<br>Giono reprend tout d'abord la tradition littéraire poétique. Il emploie la notion antique de l'inspiration en la confrontant à plusieurs personnages et puise dans la littérature ou l'art le sujet de ses œuvres. Mais en tant que romancier, il utilise la figure du héros tout en faisant de celui-ci un poète errant qui lui ressemble. Ses histoires se situent dans un espace et un temps qu'il maîtrise tel un dieu et où il aménage des scènes en écho, caractéristiques de son œuvre. Cependant, en tant qu'artisan du langage, il choisit d'éblouir, pour commencer, par sa virtuosité pour peu à peu se tourner vers le dépouillement. De même, métaphores et comparaisons choisies, laissent la place à l'entassement puis à la simplicité.<br>Ainsi, si Giono n'utilise finalement pas une écriture poétique particulière, il construit cependant un édifice poétique particulier. En effet, l'écriture est la préoccupation récurrente de son œuvre et il a le souci, comme un poète, de la remettre constamment en question. Grâce à elle, il édifie un monde foisonnant plein de mystères et de lacunes et ce monde rivalise avec la Création car Giono ne se pose pas en témoin du monde mais en témoin de soi, c'est en cela qu'il se fait poète.",Vide,https://dumas.ccsd.cnrs.fr/dumas-01140199/file/2012-13%20Saux%20Fabienne%20M2.pdf,fr,HAL CCSD,Vide,Vide,Littératures. 2013,[SHS.LITT] Humanities and Social Sciences/Literature,La tentation poétique de Jean Giono,Master thesis,2015-06-17T14:41:56+00:00,32,False,0,6010,Vide,2017-12-20T14:49:49+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6010
Vide,Sebastian Hüsch,"Stoerkler, Jérémy",2013-09-27,Vide,"Absolument rien ne permet de dire que Philippe Muray (1945-2006) connut l’œuvre d’Emmanuel Mounier (1905-1950) : il ne le cita ni n’en parla jamais. — A priori, leurs finalités divergent. Ils partent pourtant des mêmes prémisses. La probité dont Muray fait preuve à l’égard de Rabelais, Balzac, Péguy ou Céline l’aurait amené à parler de Mounier s’il avait été interpellé par son œuvre — à moins que, l’ayant connue, il la jugea anodine ? À moins qu’il se montra fourbe pour une fois ? …Pures spéculations, et improbables avec cela, tant Muray cite et reconnaît ses sources à travers toute son œuvre. Nous disons que nos auteurs se posent en archanges, chacun pour combattre le dragon moderne, et que Muray constitue le héros mouniériste. Mounier déjà, lorsqu’il invoque un christianisme héroïque, se pose par-devers lui en héros.",Vide,https://dumas.ccsd.cnrs.fr/dumas-01139108/file/Archanges%20H%C3%A9ro%C3%AFques%20M1PoetiqueHistoireLitteraire%20JeremyStoerkler.pdf,fr,HAL CCSD,Vide,Vide,Littératures. 2013,[SHS.LITT] Humanities and Social Sciences/Literature,Qu'Emmanuel Mounier annonce Philippe Muray : l’Histoire littéraire de deux plumes mécontemporaines ; précédée puis confirmée par la théorie ainsi que la méthode inhérentes et conséquentes,Master thesis,2015-06-17T14:41:56+00:00,32,False,0,6011,Vide,2017-12-20T14:49:49+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6011
Vide,Caroline Fischer,"Borsotti, Marion",2013,Vide,"Le XXe siècle, époque de grands mouvements politiques en Europe, propulse enfin la femme à un statut social en condition. La femme optimise rapidement cette possibilité, et crée alors sa place au sein de ces nouvelles sociétés innovantes. Elle profite des bienfaits de ces dernières pour se cultiver. Or, la rapidité des changements politiques favorise une instabilité générale qui permet la montée au pouvoir de tyrans dont l’ambition démesurée fait sombrer l’Europe dans le chaos et renvoie la femme à son statut initial d’objet. Cultivées et conscientes de la foudroyante acquisition puis perte de leurs droits, les femmes sont décidées à s’engager dans la lutte armée et dans la résistance aux quatre coins de l’Europe afin de conserver leur condition sociale et de lutter contre les régimes autoritaires et totalitaires pour le futur de leurs enfants. Victimes des régimes absolutistes, tout individu ne correspondant pas au profil requis par la dictature se voit enfermé et souvent condamné à mort. Dans les prisons, puis après leur libération, les femmes ont recours à une nouvelle arme : la Littérature. La Littérature et l’Histoire sont deux sciences humaines distinctes, pourtant elles sont indissociables, d’autant plus dans les récits rétrospectifs orientés par des destins étroitement liés à l’évolution des évènements historico-politiques. En quoi la Littérature peut-elle être un atout pour les (ex)prisonnières ? Pourquoi ont-elles recours à cet art ? Si la Littérature se présente comme une nouvelle arme pour ces nouveaux « soldats » est-elle aussi efficace que les armes létales ?L’objet de cette étude est d’explorer les utilisations de la plume par les victimes des dictatures européennes. Pour ce faire nous avons mis en évidence la progression culturelle de ces femmes qui a favorisé leur engagement dans la lutte, ainsi que le calvaire qu’elles ont eu à endurer comme châtiment pour leurs actes et ceux de leurs proches. Ce supplice, elles en témoignent dans leurs œuvres afin d’y reconstruire une identité propre, de prendre une revanche sur le passé, sur leurs bourreaux. C’est par la Littérature, cette culture qui les a libérées au début du siècle, qu’elles trouvent de nouveau leur libération et se présentent comme de nouvelles pédagogues, prophètes de la lutte pacifique féminine.",Vide,https://dumas.ccsd.cnrs.fr/dumas-01138966/file/Borsotti%2C%20Marion%20Les%20prisonni%C3%A8res%20politiques%20des%20dictatures%20europ%C3%A9ennes%20du%20XXe%20si%C3%A8cle%20les%20enjeux%20de%20la%20litt%C3%A9rature%20carc%C3%A9rale.pdf,fr,HAL CCSD,Vide,http://hal.archives-ouvertes.fr/licences/copyright/,Littératures. 2013,[SHS.LITT] Humanities and Social Sciences/Literature,Les prisonnières politiques des dictatures européennes du XXe siècle : les enjeux de la littérature carcérale,Master thesis,2015-06-17T14:41:57+00:00,32,False,0,6012,Vide,2017-12-20T14:49:49+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6012
Vide,Caroline Fischer,"Wozny , Hanna",2011,Vide,"Notre étude est basée sur le constat de la grande fréquence des orphelins dans la littérature de jeunesse. Notre objectif est de déterminer si nous pouvons parler de stéréotype littéraire quant à l’orphelin des œuvres pour adolescents. Quelles sont les caractéristiques de l’orphelin dans la littérature de jeunesse ? Pour répondre à cette problématique, nous avons sélectionné cinq œuvres destinées à la jeunesse dans les années 1990. Leur internationalisme et leur dispersion dans le temps permettent d’élaborer une grille d’analyse suffisamment solide pour comprendre le succès de l’orphelinisme auprès du jeune public. Notre corpus comprend : <i>Heidi</i> de Johanna Spyri (1880) ; <i>Anne… La maison aux pignons verts</i> de Lucy Maud Montgomery (1908) ; <i>Le jardin secret</i> de Frances H. Burnett (1911) ; <i>L’histoire sans fin</i> de Michael Ende (1979), et <i>Harry Potter à l’école des sorciers</i> de J. K. Rowling (1997). Pour les besoins de l’étude, nous n’avons retenu que les éditions françaises des années 1990. <br>Nous débutons notre recherche en essayant de dresser le portrait le plus complet des orphelins à partir des éléments de l’histoire. Dans un premier chapitre, nous nous concentrons sur les passés de nos protagonistes, et en particulier sur le contexte dans lequel ils sont devenus orphelins. Dans un deuxième chapitre, nous orientons notre travail sur le futur des orphelins, c’est-à-dire sur leur destinée, et notamment la destinée scolaire. Sont-ils les héros d’une même histoire qui se répète ? Le troisième chapitre prend plus de distance avec le sujet ; il se place du point de vue des éditeurs des années 1990. L’orphelinisme est-il un atout dans la stratégie promotionnelle ou est-il passé sous silence ? Enfin, le quatrième et dernier chapitre adopte le point de vue des lecteurs, en analysant la réception des œuvres et le phénomène de l’identification.",Vide,https://dumas.ccsd.cnrs.fr/dumas-01136549/file/2010-2011%20Wozny%20Hanna%20M2.pdf,fr,HAL CCSD,Vide,http://hal.archives-ouvertes.fr/licences/copyright/,Littératures. 2011,[SHS.LITT] Humanities and Social Sciences/Literature,La figure de l’orphelin dans la littérature de jeunesse,Master thesis,2015-06-17T14:41:57+00:00,32,False,0,6013,Vide,2017-12-20T14:49:50+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6013
Vide,Marie-Françoise Marein,"Noirault, Aurore",2013,Vide,"<i>Antigone</i> est sans nul doute l'une des pièces de Sophocle qui soulève le plus de problèmes : elle est l'une des rares tragédies à mettre en scène une jeune femme qui va oser s'opposer aux lois de sa cité et à son tyran pour respecter les lois divines et enterrer son frère. Elle s'oppose à tous en paroles et en actes. Elle se heurte contre la tyrannie et subit le châtiment le plus cruel : la mort. Sa parole, que personne n'aura entendue dans la pièce, résonne comme un écho étrange lorsque apparaît sur scène Créon portant le corps de son fils. Le chœur délivre alors la morale finale : les orgueilleux et les impies sont toujours punis. Le <i>logos</i> échoue tout au long de la pièce : les personnages ne s'écoutent pas, ne se comprennent plus. Chacun use d'une parole qui lui est propre sans pouvoir comprendre celle de l'autre. La parole est souvent accompagnée d'actes : Antigone enterre bel et bien Polynice ; parfois, les actes manquent et les personnages le reprochent à ceux qui n'agissent pas. Si les actes et les mots ne conviennent plus, alors certains crient pendant que d'autres choisissent le silence. Mais qu'importe leur choix, s'ils arrivent à choisir (le chœur est incapable de le faire), la parole est impuissante, chacun s'entête et s'isole, et le drame est inévitable. La composition de Sophocle est précise, la symétrie entre Créon et Antigone est effroyable mais parfaite. Cette tragédie pose bon nombre de questions, mais toutes ces interrogations sont soulevées à travers le prisme de la parole. Le drame final n'est dû qu'à une incompréhension entre les deux caractères forts d'Antigone et de Créon. Cette pièce de Sophocle est sans nul doute la tragédie de l'incommunicabilité.",Vide,https://dumas.ccsd.cnrs.fr/dumas-01136417/file/2012-2013%20NOIRAULT%20Aurore%20%20M1.pdf,fr,HAL CCSD,Vide,Vide,Littératures. 2013,[SHS.LITT] Humanities and Social Sciences/Literature,La parole emmurée,Master thesis,2015-06-17T14:41:57+00:00,32,False,0,6014,Vide,2017-12-20T14:49:50+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6014
Vide,Nadine Laporte,"Castandet, Mélanie",2012,Vide,"De tout temps, le voyage a fasciné l’Homme. Sa réalisation provient d’un désir profond d’évasion et de découverte propre aux Hommes. Le XIXe siècle est notamment propice à la multiplication des déplacements humains. Que ce soit d’un point de vue scientifique, religieux ou autres, les voyageurs ont d’emblée voulu conserver une trace écrite de leurs expéditions.<br> Cependant, le XIXe siècle souligne un renouveau dans la conception même du voyage et de sa rédaction. D’un point de vue littéraire, l’écriture du voyage a subi une véritable révolution dès le début du XIXe siècle notamment grâce à la parution de l’ouvrage de François-René de Chateaubriand intitulé <i>Itinéraire de Paris à Jérusalem</i> en 1811. Le voyageur devient alors écrivain insufflant un nouveau souffle à un genre particulier : le récit de voyage.<br> Le voyage s’ouvre alors à tous les écrivains devenant un véritable effet de mode dès le début du siècle. Les écrivains-voyageurs deviennent de plus en plus nombreux n’hésitant pas à multiplier leurs expéditions afin de partager leurs différentes aventures. Victor Hugo, Théophile Gautier, Gérard de Nerval entre autres, tous ont succombé à la tentation de l’évasion. Les paysages orientaux, par leur exotisme et leurs décors mirifiques attirent tout particulièrement les auteurs de l’époque.<br> Charles Baudelaire, poète avant-gardiste du XIXe siècle et contemporain de ces écrivains-voyageurs, a également été touché par la vogue des voyages. Cependant, le voyage qu’il réalisa à l’aube de ses vingt ans fut davantage synonyme d’épreuve. Envoyé par sa famille pour naviguer sur les mers de l’Atlantique, ce voyage sera une révélation pour le jeune poète. Abrégeant son expédition avant la fin, la réalisation du voyage apparut d’ores et déjà comme un échec. Toutefois, cet itinéraire eut une incidence particulière non seulement sur l’homme mais aussi sur sa poésie. À travers la découverte de nouveaux horizons, Baudelaire a réussi à alimenter sa poésie et à poser un regard nouveau sur le monde qui l’entoure. C’est lors de ce premier voyage, que le poète rédige ses premiers poèmes en vers qui composeront quelques années plus tard son célèbre ouvrage <i>Les Fleurs du Mal</i>.Le thème du voyage est au cœur des Fleurs maladives de Charles Baudelaire. Il guide le lecteur tout au long des 126 poèmes composant le recueil. Chaque poème possède un rôle spécifique apportant une véritable progression au fil de la lecture de l’ouvrage menant le lecteur vers un objectif précis cher au poète. Le voyage proposé par Baudelaire se révèle être un trajet hors-norme riche en rebondissements à la constante recherche d’un idéal perdu.",Vide,https://dumas.ccsd.cnrs.fr/dumas-01136209/file/2011-2012%20Castandet%20M%C3%A9lanie%20M1.pdf,fr,HAL CCSD,Vide,Vide,Littératures. 2012,[SHS.LITT] Humanities and Social Sciences/Literature,Le thème du voyage dans <i>Les Fleurs du Mal</i> de Charles Baudelaire,Master thesis,2015-06-17T14:41:57+00:00,32,False,0,6015,Vide,2017-12-20T14:49:50+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6015
Vide,Valérie Fasseur,"Fourcq, Élodie",2012,Vide,"Il existe plusieurs thèmes satiriques communs aux langues d’oc et d’oïl. Dans un premier temps, la satire liée aux évènements, à l’Histoire et à la politique, permet aux trouveurs de commenter leurs temps. Mais, par souci de brièveté ou de sécurité, les poètes masquent souvent leurs critiques en utilisant des <i>topoï</i> et en prouvant la valeur morale de leur critique. Pourtant, il est possible de définir un contexte dans des pièces, majoritairement issues de la tradition troubadouresque, car la personne attaquée est nommée ou surnommée. Les trouvères ont, eux, plus souvent voilé la satire jusqu’à la faire disparaître grâce à un discours moral et universel. La satire intervient à l’aide d’allusions perfides ou de mimes. Or, pour être comprise, elle est dépendante d’une situation déictique et d’une complicité entre le trouvère et l’auditoire. Mieux, la contextualité de la pièce dépend de la situation dans laquelle elle est (ré)actualisée. Cela prouve que certains motifs satiriques sont intemporels et que, même décontextualisés, la satire peut être entendue.<br>La satire universelle reprend des thèmes déjà traités par les satiristes antiques ou des motifs de scènes bibliques et fait sans cesse appel à des références intertextuelles. Dans les deux traditions, les poètes sont animés par un devoir d’instruire qui se traduit, dans la poésie satirique universelle par la présence de leçons de morale. Ces dernières sont inspirées des principes voire même parfois des formes des écrits chrétiens, et les poètes satiriques, qui indiquent ce qu’il ne faut pas faire ou qui font l’expérience du mal, deviennent des guides moraux. Les troubadours et les trouvères ont surtout trouvé des points d’entente sur la place que doit occuper un poète satirique ainsi que sur les principes de vie auxquels il doit s’astreindre.<br>Le poète satirique est, selon le <i>topos</i>, doué de raison ; c’est un instructeur moral mais aussi un homme clairvoyant, voire un prophète qui annonce l’apocalypse. Le monde est, selon la satire, dirigé par les vices et le poète tente, tant qu’il est encore temps, d’être un guide, une lumière dans les ténèbres. Le registre satirique est, la majorité du temps, joint à un argumentaire sombre dans les compositions des troubadours et des trouvères.<br>Bien que nous ne nous soyons que peu intéressée à la place du rire dans la poésie satirique, il semblerait que ce dernier trouve une place de choix dans les satires populaires en langue d’oc et d’oïl. Il faudrait s’intéresser à des genres comme l’<i>estribot</i>, le <i>joc partit</i> (le jeu-parti en langue d’oïl) et développer l’analyse sur la sotte chanson et la fatrasie pour comprendre la place du rire et le recours au détournement parodique dans les satires en langues d’oc et d’oïl.<br>Entre troubadours et trouvères, les sujets satiriques sont semblables ainsi que les <i>topoï</i>, qui avaient déjà été, pour certains, développés par les satiristes latins. Donc, si nous pouvons affirmer qu’il existe bien un socle thématique commun, il est tout de même impossible d’établir la précellence d’une lyrique sur l’autre. Il est difficile d’affirmer que la poésie lyrique satirique en langue d’oc soit un passage entre la littérature antique et les créations des trouvères. Les deux traditions ont hérité du socle thématique antique et en ont réactualisé les propos. Néanmoins, les troubadours et les trouvères ont fait évoluer la poésie satirique en lui imposant des formes ou en jouant avec de multiples interférences registrales. De plus, au fil des rencontres poétiques, la satire qui était encore en quête de construction n’a eu de cesse d’évoluer et de s’immiscer dans un grand nombre de pièces, lyriques ou non. Ainsi, il ne faut pas chercher dans la poésie satirique un lieu ou un moment auquel aurait pu se produire un passage d’une lyrique vers l’autre mais bien percevoir un dialogue continu entre la France et son Midi, entre la lyrique et le roman, entre la courtoisie et la satire tout au long des XIIe et XIIIe siècles.",Vide,https://dumas.ccsd.cnrs.fr/dumas-01136200/file/La%20satire%20dans%20la%20po%C3%A9sie%20lyrique%20un%20dialogue%20oc%20o%C3%AFl.pdf,fr,HAL CCSD,Vide,Vide,Littératures. 2012,[SHS.LITT] Humanities and Social Sciences/Literature,La satire dans la poésie lyrique : un dialogue oc – oïl ?,Master thesis,2015-06-17T14:41:57+00:00,32,False,0,6016,Vide,2017-12-20T14:49:50+00:00,1,True,Vide,https://cime.univ-pau.fr/api/items/6016
